55 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
61 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
67 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
73 kg,,,,,
Snatch,Timothy Campbell,Unattached,45,4/29/2023,ECG Spring Fling
Clean & Jerk,Timothy Campbell,Unattached,71,4/29/2023,ECG Spring Fling
Total,Timothy Campbell,Unattached,116,4/29/2023,ECG Spring Fling
81 kg,,,,,
Snatch,Scott Obici,True Core Barbell Club,80,8/5/2021,2021 Pan American Masters Weightlifting Championships
Clean & Jerk,Scott Obici,True Core Barbell Club,104,8/5/2021,2021 Pan American Masters Weightlifting Championships
Total,Scott Obici,True Core Barbell Club,184,8/5/2021,2021 Pan American Masters Weightlifting Championships
89 kg,,,,,
Snatch,Robert O-Day,Attitude Nation Barbell Club,87,3/1/2024,Nike 2024 North American Open Series 1
Clean & Jerk,Robert O-Day,Attitude Nation Barbell Club,107,3/1/2024,Nike 2024 North American Open Series 1
Total,Robert O-Day,Attitude Nation Barbell Club,194,3/1/2024,Nike 2024 North American Open Series 1
96 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
102 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
109 kg,,,,,
Snatch,Eugene Burke,RVA Weightlifting Club,58,1/19/2020,RVA Open 2020
Clean & Jerk,Eugene Burke,RVA Weightlifting Club,75,1/19/2020,RVA Open 2020
Total,Eugene Burke,RVA Weightlifting Club,133,1/19/2020,RVA Open 2020
109+ kg,,,,,
Snatch,Brian Lamb,East Coast Gold,58,10/14/2023,2023 DMV WSO Championships and Fall Brawl
Clean & Jerk,Brian Lamb,East Coast Gold,80,10/14/2023,2023 DMV WSO Championships and Fall Brawl
Total,Brian Lamb,East Coast Gold,138,10/14/2023,2023 DMV WSO Championships and Fall Brawl
