Lift,Athlete,Team,Weight,Date,Meet ,Site
Clean & Jerk,Jaelyn Noon,Power & Grace Performance,75,06/28/2021,Nike 2021 National Youth Championships,
Total ,Jaelyn Noon,Power & Grace Performance,136,06/28/2021,Nike 2021 National Youth Championships,
16-17 55 kg,,,,,,
Snatch,Ella Grizzle,Choptank,82,02/07/2020,2020 National Junior Championships,
Clean & Jerk,Ella Grizzle,Choptank,90,02/07/2020,2020 National Junior Championships,
Total ,Ella Grizzle,Choptank,172,02/07/2020,2020 National Junior Championships,
16-17 59 kg,,,,,,
Snatch,Jaelyn Noon,Power & Grace Performance,61,02/08/2020,2020 National Junior Championships,
Clean & Jerk,Jaelyn Noon,Power & Grace Performance,79,02/08/2020,2020 National Junior Championships,
Total ,Jaelyn Noon,Power & Grace Performance,140,02/08/2020,2020 National Junior Championships,
16-17 64 kg,,,,,,
Snatch,Lauren Ferris,Choptank,66,01/19/2020,2022 Old Dominion Classic,
Clean & Jerk,Paige Austin,LHO Barbell,82,12/08/2023,2023 Nike North American Open Finals,
Total ,Lauren Ferris,Choptank,145,01/19/2020,2022 Old Dominion Classic,
16-17 71 kg,,,,,,
Snatch,Natalie Andrews,CHFP,85,12/06/2020,2020 Online National Youth Championships,
Clean & Jerk,Natalie Andrews,CHFP,104,07/31/2021,2020 Online National Youth Championships,
Total ,Natalie Andrews,CHFP,189,07/31/2021,2020 Online National Youth Championships,
16-17 76 kg,,,,,,
Snatch,Isabella Rivera,Philadelphia Barbell,86,06/16/2022,2022 IWF Youth World Championships,
Clean & Jerk,Isabella Rivera,Philadelphia Barbell,108,06/16/2022,2022 IWF Youth World Championships,
Total ,Isabella Rivera,Philadelphia Barbell,194,06/16/2022,2022 IWF Youth World Championships,
16-17 81 kg,,,,,,
Snatch,Makenna Mack,White Rose Barbell Club,73,06/27/2022,Nike 2022 National Youth Championships,
Clean & Jerk,Makenna Mack,White Rose Barbell Club,86,06/27/2022,Nike 2022 National Youth Championships,
Total ,Makenna Mack,White Rose Barbell Club,159,06/27/2022,Nike 2022 National Youth Championships,
16-17 81+ kg,,,,,,
Snatch,Makenna Mack,White Rose Barbell Club,78,01/24/2021,2021 Baltimore Open,
Clean & Jerk,Makenna Mack,White Rose Barbell Club,93,01/24/2021,2021 Baltimore Open,
Total ,Makenna Mack,White Rose Barbell Club,171,01/24/2021,2021 Baltimore Open,
