Lift,Athlete,Team,Weight,Date,Meet ,Site
 55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
61 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
67 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
73 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
81 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
89 kg,,,,,,
Snatch,Steven Kraft,Tough Temple Barbell Club,30,05/02/2021,Capital City Open (Men),
Clean & Jerk,Steven Kraft,Tough Temple Barbell Club,35,05/02/2021,Capital City Open (Men),
Total ,Steven Kraft,Tough Temple Barbell Club,65,05/02/2021,Capital City Open (Men),
96 kg,,,,,,
Snatch,Steven Kraft,Tough Temple Barbell Club,29,05/01/2022,2022 Capital City Open,
Clean & Jerk,Steven Kraft,Tough Temple Barbell Club,34,05/01/2022,2022 Capital City Open,
Total ,Steven Kraft,Tough Temple Barbell Club,63,05/01/2022,2022 Capital City Open,
102 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
109 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
109+ kg,,,,,,
Snatch,Ward Sorensen,East Coast Gold,60,01/13/2024,Rosedale Open 2024,
Clean & Jerk,Ward Sorensen,East Coast Gold,65,01/13/2024,Rosedale Open 2024,
Total ,Ward Sorensen,East Coast Gold,125,01/13/2024,Rosedale Open 2024,
