Lift,Athlete,Team,Weight,Date,Meet ,Site
45 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
49 kg,,,,,,
Snatch,Theresa Reumont-Burgess,Unaffiliated,21,08/12/2023,2023 Black & Red Open,
Clean & Jerk,Theresa Reumont-Burgess,Unaffiliated,28,08/12/2023,2023 Black & Red Open,
Total ,Theresa Reumont-Burgess,Unaffiliated,49,08/12/2023,2023 Black & Red Open,
55 kg,,,,,,
Snatch,Kathleen Friend,Woodbridge Barbell,37,03/16/2023,2023 National Masters Championships,
Clean & Jerk,Kathleen Friend,Woodbridge Barbell,49,03/16/2023,2023 National Masters Championships,
Total ,Kathleen Friend,Woodbridge Barbell,86,03/16/2023,2023 National Masters Championships,
59 kg,,,,,,
Snatch,Jennifer Yeager,BAM Weightlifting Club,40,10/09/2022,Trident Classic,
Clean & Jerk,Susan Giuffre,Unaffiliated,52,01/30/2021,Rosedale Open 2021,
Total ,Susan Giuffre,Unaffiliated,91,05/24/2021,2021 World Masters Championships,
64 kg,,,,,,
Snatch,Jennifer Yeager,BAM Weightlifting,42,06/11/2022,BASA BIG Saturday Open 2022,
Clean & Jerk,Jennifer Yeager,BAM Weightlifting,58,06/11/2022,BASA BIG Saturday Open 2022,
Total ,Jennifer Yeager,BAM Weightlifting,100,06/11/2022,BASA BIG Saturday Open 2022,
71 kg,,,,,,
Snatch,Kimberley Martin,Newfound Weightlifting,62,10/22/2022,IWF World Masters Championships,
Clean & Jerk,Kimberley Martin,Newfound Weightlifting,76,10/25/2020,IWF World Masters Championships,
Total ,Kimberley Martin,Newfound Weightlifting,138,10/22/2022,IWF World Masters Championships,
76 kg,,,,,,
Snatch,Kimberly Martin,Newfound Weightlifting,56,07/31/2021,2021 Old Dominion Classic,"Richmond, VA"
Clean & Jerk,Kimberly Martin,Newfound Weightlifting,77,07/31/2021,2021 Old Dominion Classic,"Richmond, VA"
Total ,Kimberly Martin,Newfound Weightlifting,133,07/31/2021,2021 Old Dominion Classic,"Richmond, VA"
81 kg,,,,,,
Snatch,Pattie Kraisser,Blackbird Barbell Club,54,01/14/2023,2023 Baltimore Open,
Clean & Jerk,Pattie Kraisser,Blackbird Barbell Club,65,01/14/2023,2023 Baltimore Open,
Total ,Pattie Kraisser,Blackbird Barbell Club,119,01/14/2023,2023 Baltimore Open,
87 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
87+ kg,,,,,,
Snatch,Jana Berhow,CHFP Weightlifting Club,45,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
Clean & Jerk,Jana Berhow,CHFP Weightlifting Club,51,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
Total ,Jana Berhow,CHFP Weightlifting Club,96,03/21/2024,Nike 2024 USA Weightlifting Masters National Championships,
