45 kg,,,,,,
Snatch,Melissa Sue Jutras Kamphake,East Coast Gold WL,58,10/9/2020,2020 Masters National Championships,
Clean & Jerk,Melissa Sue Jutras Kamphake,East Coast Gold WL,72,10/9/2020,2020 Masters National Championships,
Total,Melissa Sue Jutras Kamphake,East Coast Gold WL,130,10/9/2020,2020 Masters National Championships,
49 kg,,,,,,
Snatch,Melissa Sue Jutras Kamphake,East Coast Gold WL,58,5/24/2021,2021 World Masters Championships,
Clean & Jerk,Melissa Sue Jutras Kamphake,East Coast Gold WL,73,5/24/2021,2021 World Masters Championships,
Total,Melissa Sue Jutras Kamphake,East Coast Gold WL,131,5/24/2021,2021 World Masters Championships,
55 kg,,,,,,
Snatch,Antonia Plazibat,Black and Red Barbell Club,64,10/30/2021,No Matter What Open 2021,
Clean & Jerk,Antonia Plazibat,Black and Red Barbell Club,78,10/30/2021,No Matter What Open 2021,
Total,Antonia Plazibat,Black and Red Barbell Club,142,10/30/2021,No Matter What Open 2021,
59 kg,,,,,,
Snatch,Laura Bligh,East Coast Gold,76,10/25/2020,2020 ODC/VA LWC Champ.,"Richmond, VA"
Clean & Jerk,Laura Bligh,East Coast Gold,100,12/5/2020,2020 Online National Championships,
Total,Laura Bligh,East Coast Gold,175,12/5/2020,2020 Online National Championships,
64 kg,,,,,,
Snatch,Laura Bligh,East Coast Gold,80,4/11/2020,AO Series Online Qualifier - April,
Clean & Jerk,Laura Bligh,East Coast Gold,100,4/11/2020,AO Series Online Qualifier - April,
Total,Laura Bligh,East Coast Gold,180,4/11/2020,AO Series Online Qualifier - April,
71 kg,,,,,,
Snatch,Casey Smith,East Coast Gold,71,10/22/2022,ECG Fall Brawl,"Virginia Beach, VA"
Clean & Jerk,Casey Smith,East Coast Gold,91,8/7/2022,2022 Old Dominion Classic,"Richmond, VA"
Total,Casey Smith,East Coast Gold,161,8/7/2022,2022 Old Dominion Classic,"Richmond, VA"
76 kg,,,,,,
Snatch,Jennifer Miller,Woodbridge Barbell,65,9/18/2022,Nike 2022 North American Open Series 2,
Clean & Jerk,Sarah Welsh,BASA,84,12/9/2023,2023 Nike North American Open Finals,
Total,Sarah Welsh,BASA,146,12/9/2023,2023 Nike North American Open Finals,
81 kg,,,,,,
Snatch,Leigh LeGare,Tough Temple Barbell Club,70,1/21/2023,Rosedale Open,
Clean & Jerk,Leigh LeGare,Tough Temple Barbell Club,94,3/18/2023,2023 National Masters Championships,
Total,Leigh LeGare,Tough Temple Barbell Club,163,1/21/2023,2023 National Masters Championships,
87 kg,,,,,,
Snatch,Harmony Madden,East Coast Gold WL,74,12/5/2021,Nike 2021 North American Open Finals,
Clean & Jerk,Harmony Madden,East Coast Gold WL,97,12/5/2021,Nike 2021 North American Open Finals,
Total,Harmony Madden,East Coast Gold WL,171,12/5/2021,Nike 2021 North American Open Finals,
87+ kg,,,,,,
Snatch,Sarah Tyler,SoCal Weightlifting,88,12/4/2022,Nike 2022 North American Open Finals,
Clean & Jerk,Sarah Tyler,SoCal Weightlifting,107,12/4/2022,Nike 2022 North American Open Finals,
Total,Sarah Tyler,SoCal Weightlifting,195,12/4/2022,Nike 2022 North American Open Finals,
