Lift,Athlete,Team,Weight,Date,Meet ,Site
 55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
61 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
67 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
73 kg,,,,,,
Snatch,Prithviraj Mukherji,Tough Temple Barbell Club,32,10/29/2022,No Matter What Open 2022,
Clean & Jerk,Prithviraj Mukherji,Tough Temple Barbell Club,39,10/29/2022,No Matter What Open 2022,
Total ,Prithviraj Mukherji,Tough Temple Barbell Club,71,10/29/2022,No Matter What Open 2022,
81 kg,,,,,,
Snatch,David Lovelace,East Coast Gold ,47,10/09/2020,2020 Masters National Championships,
Clean & Jerk,David Lovelace,East Coast Gold ,64,10/09/2020,2020 Masters National Championships,
Total ,David Lovelace,East Coast Gold ,111,10/09/2020,2020 Masters National Championships,
89 kg,,,,,,
Snatch,Henry Deimel,East Coast Gold ,65,01/18/2020,2020 Baltimore Open,
Clean & Jerk,Henry Deimel,East Coast Gold ,86,01/18/2020,2020 Baltimore Open,
Total ,Henry Deimel,East Coast Gold ,151,01/18/2020,2020 Baltimore Open,
96 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
102 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
109 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
109+ kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
