Lift,Athlete,Team,Weight,Date,Meet ,Site
45 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
49 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
59 kg,,,,,,
Snatch,Sara Contente,Tough Temple Barbell Club,26,05/24/2023,2023 Pan American Masters,
Clean & Jerk,Sara Contente,Tough Temple Barbell Club,30,05/24/2023,2023 Pan American Masters,
Total ,Sara Contente,Tough Temple Barbell Club,56,05/24/2023,2023 Pan American Masters,
64 kg,,,,,,
Snatch,Sara Contente,Tough Temple Barbell Club,24,08/10/2022,2022 Howard Cohen American Masters,
Clean & Jerk,Sara Contente,Tough Temple Barbell Club,29,08/10/2022,2022 Howard Cohen American Masters,
Total ,Sara Contente,Tough Temple Barbell Club,53,08/10/2022,2022 Howard Cohen American Masters,
71 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
76 kg,,,,,,
Snatch,Karen King,Southside Barbell,29,01/20/2024,RVA Open,"Richmond, VA"
Clean & Jerk,Karen King,Southside Barbell,45,01/20/2024,RVA Open,"Richmond, VA"
Total ,Karen King,Southside Barbell,74,01/20/2024,RVA Open,"Richmond, VA"
81 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
87 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
87+ kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total ,None Established,,,,,
