45 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
49 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
55 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
59 kg,,,,,
Snatch,Sara Contente,Tough Temple Barbell Club,24,8/4/2021,2021 Pan American Masters Weightlifting Championships
Clean & Jerk,Sara Contente,Tough Temple Barbell Club,32,8/4/2021,2021 Pan American Masters Weightlifting Championships
Total,Sara Contente,Tough Temple Barbell Club,56,8/4/2021,2021 Pan American Masters Weightlifting Championships
64 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
71 kg,,,,,
Snatch,Karen King,Southside Barbell Club,32,1/18/2020,RVA Open 2020
Clean & Jerk,Karen King,Southside Barbell Club,52,1/18/2020,RVA Open 2020
Total,Karen King,Southside Barbell Club,84,1/18/2020,RVA Open 2020
76 kg,,,,,
Snatch,Karen King,Southside Barbell Club,30,3/15/2023,2023 National Masters Championships
Clean & Jerk,Karen King,Southside Barbell Club,49,3/15/2023,2023 National Masters Championships
Total,Karen King,Southside Barbell Club,79,3/15/2023,2023 National Masters Championships
81 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
87 kg,,,,,
Snatch,Doncella Young,CHFP Weightlifting Club,37,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
Clean & Jerk,Doncella Young,CHFP Weightlifting Club,43,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
Total,Doncella Young,CHFP Weightlifting Club,80,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
87+ kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
