55 kg,,,,,,
Snatch,None Established,,,,,
Clean & Jerk,None Established,,,,,
Total,None Established,,,,,
61 kg,,,,,,
Snatch,Michael Lee,Tough Temple Barbell Club,68,1/26/2020,Rosedale Open,"Rosedale, MD"
Clean & Jerk,Michael Lee,Tough Temple Barbell Club,80,1/26/2020,Rosedale Open,"Rosedale, MD"
Total,Michael Lee,Tough Temple Barbell Club,148,1/26/2020,Rosedale Open,"Rosedale, MD"
67 kg,,,,,,
Snatch,Nicholas Suarez,DC Barbell,100,12/9/2022,IWF World Masters Championships,
Clean & Jerk,Nicholas Suarez,DC Barbell,120,12/9/2022,IWF World Masters Championships,
Total,Nicholas Suarez,DC Barbell,220,12/9/2022,IWF World Masters Championships,
73 kg,,,,,,
Snatch,Willie Day,Philadelphia Barbell,122,10/31/2020,No Matter What Open,"Rosedale, MD"
Clean & Jerk,Steve Yanda,Philadelphia Barbell,146,10/31/2020,No Matter What Open,"Rosedale, MD"
Total,Steve Yanda,Philadelphia Barbell,268,10/31/2020,No Matter What Open,"Rosedale, MD"
81 kg,,,,,,
Snatch,Jeffrey Jenkins,Unaffiliated,135,5/24/2021,2021 World Masters Championships,
Clean & Jerk,Daniel Himmer,Unaffiliated,155,4/12/2020,AO Series Online Qualifier - April,
Total,Jeffrey Jenkins,Unaffiliated,280,5/24/2021,2021 World Masters Championships,
89 kg,,,,,,
Snatch,Matthew Fitzgerald,Southside Barbell Club,122,10/14/2023,2023 DMV WSO Championships and Fall Brawl,"Richmond, VA"
Clean & Jerk,Marcos Hernandez,RVAWL,150,1/15/2023,2023 Baltimore Open,
Total,Matthew Fitzgerald,Southside Barbell Club,270,10/14/2023,2023 DMV WSO Championships and Fall Brawl,"Richmond, VA"
96 kg,,,,,,
Snatch,Phil Sabatini,East Coast Gold WL,157,7/3/2021,Nike 2021 USA Weightlifting National Championships,
Clean & Jerk,Phil Sabatini,East Coast Gold WL,185,7/3/2021,Nike 2021 USA Weightlifting National Championships,
Total,Phil Sabatini,East Coast Gold WL,342,7/3/2021,Nike 2021 USA Weightlifting National Championships,
102 kg,,,,,,
Snatch,Joe Smackum,Trident Weightlifting Club,130,5/2/2021,Capital City Open,
Clean & Jerk,Joe Smackum,Trident Weightlifting Club,162,5/2/2021,Capital City Open,
Total,Joe Smackum,Trident Weightlifting Club,292,5/2/2021,Capital City Open,
109 kg,,,,,,
Snatch,Chris Tolzman,Unaffiliated,125,1/19/2020,2020 Baltimore Open,
Clean & Jerk,Chris Tolzman,Unaffiliated,152,1/19/2020,2020 Baltimore Open,
Total,Chris Tolzman,Unaffiliated,277,1/19/2020,2020 Baltimore Open,
109+ kg,,,,,,
Snatch,Matthew Barger,Unaffiliated,140,3/27/2021,Torque Barbell Open 2021,
Clean & Jerk,Matthew Barger,Unaffiliated,176,3/27/2021,Torque Barbell Open 2021,
Total,Matthew Barger,Unaffiliated,316,3/27/2021,Torque Barbell Open 2021,
