55 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
61 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
67 kg,,,,,
Snatch,Michael Foley,Unattached,37,1/25/2020,Rosedale Open
Clean & Jerk,Michael Foley,Unattached,51,1/25/2020,Rosedale Open
Total,Michael Foley,Unattached,88,1/25/2020,Rosedale Open
73 kg,,,,,
Snatch,Michael Foley,Unattached,37,6/11/2022,BASA BIG Saturday Open 2022
Clean & Jerk,Michael Foley,Unattached,50,6/11/2022,BASA BIG Saturday Open 2022
Total,Michael Foley,Unattached,87,6/11/2022,BASA BIG Saturday Open 2022
81 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
89 kg,,,,,
Snatch,Stephen Knott,East Coast Gold,56,1/4/2020,2020 HWC Winter Open
Clean & Jerk,Stephen Knott,East Coast Gold,75,1/4/2020,2020 HWC Winter Open
Total,Stephen Knott,East Coast Gold,131,1/4/2020,2020 HWC Winter Open
96 kg,,,,,
Snatch,Christopher Polakowski,Delaware and Vermont Weightlifting,55,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
Clean & Jerk,Christopher Polakowski,Delaware and Vermont Weightlifting,71,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
Total,Christopher Polakowski,Delaware and Vermont Weightlifting,126,3/21/2024,Nike 2024 USA Weightlifting Masters National Championships
102 kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
109 kg,,,,,
Snatch,Gerard Finn,East Coast Gold,64,12/2/2022,IWF World Masters Championships
Clean & Jerk,Gerard Finn,East Coast Gold,86,12/2/2022,IWF World Masters Championships
Total,Gerard Finn,East Coast Gold,150,12/2/2022,IWF World Masters Championships
109+ kg,,,,,
Snatch,None Established,,,,
Clean & Jerk,None Established,,,,
Total,None Established,,,,
